Labdoo ID,Status,Hub,Edoovillage,Country,Serial number,Pick me up,Model,Date created,Wh,Dootrips,Notes
24281,S4,Labdoo Annahmestelle 80804 München (Hub),"Edoovillage #1858 - Germany, München: Malteser Jobmentoring",Germany,CND61032D9,no,HP,2020-08-16,41.61,,Donated by Gympass
24280,S4,Labdoo Annahmestelle 80804 München (Hub),"Edoovillage #1494 - Tanzania, Dar Es Salaam: WEEDO | Tabasamu e.V.",Tanzania,162PE5019578,no,Medion Akoya,2020-08-15,44.604,#000001597,
24279,S4,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),"Edoovillage #1707 - Germany, Duisburg: Kinderheime und Außenwohngruppen Caritas Duisburg | COVID-19-DE",Germany,PC0E1X5T,no,Lenovo ThinkPad T460,2020-08-15,71.28,#000001570,"gespendet von der CPC AG , Frankfurt /Main / Augsburg , vielen Dank. Ersatz-Festplatte gespendet vom Förderverein Labdoo.org e.V. BIOS-Passwort, aber mit UEFI-Partion gelöst."
24278,S4,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),"Edoovillage #1707 - Germany, Duisburg: Kinderheime und Außenwohngruppen Caritas Duisburg | COVID-19-DE",Germany,PC0CQT81,no,Lenovo ThinkPad T460,2020-08-15,71.28,#000001570,"gespendet von der CPC AG , Frankfurt /Main / Augsburg , vielen Dank. Ersatz-Festplatte gespendet vom Förderverein Labdoo.org e.V. BIOS-Passwort, aber mit UEFI-Partion gelöst."
24277,S4,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub) | Labdoo Annahmestelle 47059 Duisburg - Innenhafen: Wirtschaftsbetriebe Duisburg (H2Office),"Edoovillage #1643 - Congo (Kinshasa), Yakoma: Lycée Maman Leona | ACDC",Congo (Kinshasa),914W601DN2G82200JYUKS00,no,Medion MD96850 WIM2210,2020-08-15,66.6,#000001585,"aus der Sammelaktion WBD Wirtschaftsbetriebe Duisburg, vielen Dank. Ersatzakku vom Förderverein Labdoo.org e.V."
24276,S4,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),"Edoovillage #1707 - Germany, Duisburg: Kinderheime und Außenwohngruppen Caritas Duisburg | COVID-19-DE",Germany,PC0CQT7X,no,Lenovo ThinkPad T460,2020-08-15,71.28,#000001570,"gespendet von der CPC AG , Frankfurt /Main / Augsburg , vielen Dank. Ersatz-Festplatte gespendet vom Förderverein Labdoo.org e.V. BIOS-Passwort, aber mit UEFI-Partion gelöst."
24275,S4,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),"Edoovillage #1707 - Germany, Duisburg: Kinderheime und Außenwohngruppen Caritas Duisburg | COVID-19-DE",Germany,-,no,Lenovo ThinkPad T460,2020-08-15,71.28,#000001570,"gespendet von der CPC AG , Frankfurt /Main / Augsburg , vielen Dank. Ersatz-Festplatte gespendet vom Förderverein Labdoo.org e.V. BIOS-Passwort, aber mit UEFI-Partion gelöst."
24274,S4,Labdoo Annahmestelle 80804 München (Hub),"Edoovillage #1858 - Germany, München: Malteser Jobmentoring",Germany,CND62092KC,no,HP,2020-08-14,41.61,,Donated by Gympass
24273,S4,Labdoo Annahmestelle 80804 München (Hub),"Edoovillage #1893 - Greece, Athens: Greece, Athens: Laptops, Tablets and Phones for Ankaa Projekt",Greece,RF8J911FWVL,no,Samsung Galaxy A3,2020-08-14,0,#000001619,Donated by Gympass - Thank you very much!
24272,S6,Labdoo Annahmestelle 80804 München (Hub),,Germany,RF8J913S7WR,no,Samsung Galaxy A3,2020-08-14,0,,Donated by Gympass - Thank you very much!
24271,S6,Labdoo Annahmestelle 80804 München (Hub),,Germany,R58J1096MNB,no,Samsung Galaxy A36,2020-08-14,0,,Donated by Gympass - Thank you very much!
24270,S6,Labdoo Annahmestelle 80804 München (Hub),,Germany,R58K4076LEZ,no,Samsung Galaxy A5,2020-08-14,0,,Donated by Gympass - Thank you very much!
24269,S4,Labdoo Annahmestelle 80804 München (Hub),"Edoovillage #1893 - Greece, Athens: Greece, Athens: Laptops, Tablets and Phones for Ankaa Projekt",Greece,R58J13D6CFJ,no,Samsung Galaxy A36,2020-08-14,0,#000001618,Donated by Gympass - Thank you very much!
24268,S4,Labdoo Annahmestelle 80804 München (Hub),"Edoovillage #1893 - Greece, Athens: Greece, Athens: Laptops, Tablets and Phones for Ankaa Projekt",Greece,R58J11DBGDN,no,Samsung Galaxy A36,2020-08-14,0,#000001618,Donated by Gympass - Thank you very much!
24267,S4,Labdoo Annahmestelle 80804 München (Hub),"Edoovillage #1893 - Greece, Athens: Greece, Athens: Laptops, Tablets and Phones for Ankaa Projekt",Greece,R58H449TSGF,no,Samsung SM-J120FN,2020-08-14,0,#000001618,Donated by Gympass - Thank you very much!
24266,S4,Labdoo Annahmestelle 80804 München (Hub),"Edoovillage #1893 - Greece, Athens: Greece, Athens: Laptops, Tablets and Phones for Ankaa Projekt",Greece,RV8GA002EJJ,no,Samsung GT-I9195I,2020-08-14,0,#000001618,Donated by Gympass - Thank you very much!
24265,S4,Labdoo Annahmestelle 80804 München (Hub),"Edoovillage #1893 - Greece, Athens: Greece, Athens: Laptops, Tablets and Phones for Ankaa Projekt",Greece,R28HCO6LTVY,no,Samsung Galaxz A36,2020-08-14,0,#000001618,Donated by Gympass - Thank you very much!
24264,S4,Labdoo Annahmestelle 80804 München (Hub),"Edoovillage #1893 - Greece, Athens: Greece, Athens: Laptops, Tablets and Phones for Ankaa Projekt",Greece,R28HC0YR03D,no,Samsung Galaxz A36,2020-08-14,0,#000001618,Donated by Gympass - Thank you very much!
24263,S4,Labdoo Annahmestelle 80804 München (Hub),"Edoovillage #1893 - Greece, Athens: Greece, Athens: Laptops, Tablets and Phones for Ankaa Projekt",Greece,R58J139L9ZN,no,Samsung Galaxz A36,2020-08-14,0,#000001618,Donated by Gympass - Thank you very much!
24262,S4,Labdoo Annahmestelle 80804 München (Hub),"Edoovillage #1893 - Greece, Athens: Greece, Athens: Laptops, Tablets and Phones for Ankaa Projekt",Greece,R58J226FP4J,no,Samsung Galaxz A36,2020-08-14,0,#000001618,Donated by Gympass - Thank you very much!
