Edoovillage,Date created,Hubs,Needed (N),In transit (T),Delivered (D),Remaining (R = N-T-D),% Completed,Number of students,Status,Country,Completed
"Indonesia, Mataram, Lombok: CLOSED Youth Creative Foundation",2012-12-28,Labdoo Hub Zürich (Schweiz),13,0,5,8,38,20,completed,Indonesia,1
"Liberia, Monrovia: Ward Academy for Girls",2013-01-12,Labdoo Hub Zürich (Schweiz),4,0,4,0,100,30,completed,Liberia,1
"Cameroon, Bali Nyonga: The laptops will support our school children in Cameroon (Ashia)",2012-06-01,Labdoo Hub Zürich (Schweiz),140,0,140,0,100,580,completed,Cameroon,1
"Nigeria, Calabar: Computer Lab  in Calabar",2013-01-12,Labdoo Hub California (South),20,0,6,14,30,150,open,Nigeria,0
"Thailand, Chonburi: Thailand, Chonburi: HHN Foundation Thailand (Pattaya)",2013-01-11,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),2,0,2,0,100,15,completed,Thailand,1
"Italy, Piglio: To support using laptops the many start-up activities the organization carries out",2011-11-28,Labdoo Hub Rome,25,0,25,0,100,20,completed,Italy,1
"Morocco, Agadir: Public Souk Khamis School near Tafraout",2012-06-23,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),10,0,10,0,100,100,completed,Morocco,1
"Tanzania, Engaruka: Continous support to Tanzania computer lab built by the Tanzania Educational Volunteer Group",2012-02-05,Labdoo Hub Taipei @EWB-Taiwan,3,0,3,0,100,400,completed,Tanzania,1
"Togo, Akata Dzokpé: Build a permanent Computer workshop for children and adults  in Akata Dzokpé, TOGO",2012-08-03,Labdoo Hub Barcelona @I2CAT Campus Nord,2,0,2,0,100,25,completed,Togo,1
"Ghana, Begoro: Laptops for Ghana, Begoro - Anglican JHS",2013-01-20,Labdoo Annahmestelle 79104 Freiburg Baden [zur Zeit geschlossen],20,0,18,2,90,132,open,Ghana,0
"Ghana, Begoro: ",2013-01-20,Labdoo Annahmestelle 79104 Freiburg Baden [zur Zeit geschlossen],20,0,17,3,85,152,open,Ghana,0
"Argentina, LA PLATA: To provide children in project 'La Maquina de los Sueños' with laptops",2011-09-27,Labdoo Hub Rome,7,0,8,0,100,15,completed,Argentina,1
"Ecuador, Guayaquil: Yachana-huasi",2013-03-06,Labdoo Hub Rome,5,0,5,0,100,530,completed,Ecuador,1
"Zambia, Lusaka: Holy Cross Convent school | Förderverein Windeck",2012-05-17,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),60,0,60,0,100,400,completed,Zambia,1
"Guatemala, Huehuetenango Cabecera: To provide the school (EL EUCALIPTO) with a small IT center for the sixth graders",2013-04-02,Labdoo Hub Guatemala City,1,0,1,0,100,492,completed,Guatemala,1
"Ghana, Sunyani: ",2012-11-19,Labdoo Annahmestelle 79104 Freiburg Baden [zur Zeit geschlossen],35,0,18,17,51,25,open,Ghana,0
"Ecuador, Ambato, Tungurahua: ",2012-09-22,Labdoo Hub Barcelona @I2CAT Campus Nord,3,0,2,1,66,60,completed,Ecuador,1
"Thailand, Chiang Rai: 把Ｅ化教育帶到泰北,為學校進行環境改善作業",2013-04-26,Labdoo Hub Taipei @EWB-Taiwan,6,0,6,0,100,94,completed,Thailand,1
"Ghana, Sawla: NASCO ICT Feeding minds to help provide universal computer access and print literature for students and educators",2013-04-26,Labdoo Hub Barcelona Amics de Gracia | Labdoo School Hub Vilanova - Institut Baix a Mar | Labdoo Hub Barcelona @I2CAT Campus Nord,55,0,35,20,63,876,completed,Ghana,1
"Mexico, Mexico City: Digital art workshops for kids and adolescents to learn how to draw, model and animate",2013-04-08,Labdoo Hub Mexico DF,5,0,0,5,0,10,open,Mexico,0
"Mexico, Tepoztlán: Give development tools to young people, reduce the digital divide, promote collaborative culture",2013-05-08,Labdoo Hub Mexico DF,2,0,4,0,100,20,open,Mexico,0
"Bosnia and Herzegovina, Capljina: Computer room for a primary school in Capljina",2012-06-25,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),15,0,15,0,100,310,completed,Bosnia and Herzegovina,1
"Nepal, Ghyampesal: Shree Dullav Higher Secondary School",2013-05-15,Labdoo Hub Zürich (Schweiz),10,0,3,7,30,120,open,Nepal,0
"Cambodia, Phnom Penh: Introduce IT skills to students (Toul Ampil)",2013-02-12,Labdoo Hub Zürich (Schweiz) | Labdoo Hub Melbourne,20,2,19,0,100,250,completed,Cambodia,1
"Zambia, Ndola: Chisankana Community Primary School",2012-10-28,Labdoo Hub Zürich (Schweiz),35,0,23,12,65,190,completed,Zambia,1
"Mexico, Distrito Federal: Adolescents and young adults promoting culture, art, health, ecology to impact their neighbourhood",2013-05-06,Labdoo Hub Mexico DF,2,0,2,0,100,10,open,Mexico,0
"Paraguay, Ypacarai: Computer Lab",2012-02-05,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),2,0,2,0,100,20,completed,Paraguay,1
"Guatemala, Chitocán II: laboratorio de computación auto-sostenible por los padres de familia y alumnos para la educación",2013-06-01,Labdoo Hub California (South),9,0,9,0,100,200,completed,Guatemala,1
"Morocco, Tafrauot: computer lab in a school with disadvantaged children",2012-05-27,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),10,0,10,0,100,10,completed,Morocco,1
"Cameroon, Elak-Oku: Computer centre of Elak-Okuon on the purpose of education for children and youths. ",2013-06-09,Labdoo Annahmestelle 79104 Freiburg Baden [zur Zeit geschlossen],40,0,0,40,0,40,open,Cameroon,0
"Namibia, Swakopmund: Schule Swakopmund",2013-06-05,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),10,0,10,0,100,200,completed,Namibia,1
"Afghanistan, Laghmani: school in Laghmani (DAI)",2013-05-05,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),10,0,10,0,100,100,completed,Afghanistan,1
"Bosnia and Herzegovina, Prijedor: school at Prijedor",2013-01-11,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),10,0,10,0,100,60,completed,Bosnia and Herzegovina,1
"Bosnia and Herzegovina, Srebrenica / Srebrenik: Computer lab for disabled children school",2013-01-30,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),10,0,10,0,100,70,completed,Bosnia and Herzegovina,1
"Bosnia and Herzegovina, Vitez: Roma project and school (Merhamet)",2013-05-16,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),12,0,12,0,100,85,completed,Bosnia and Herzegovina,1
"Cameroon, Yaoundé: Deutsche Schule Jaunde",2013-04-19,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),20,0,20,0,100,40,completed,Cameroon,1
"Germany, Duisburg - Huckingen: Bertold-Brecht-Berufsschule",2012-11-29,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),20,0,20,0,100,2100,completed,Germany,1
"Germany, Duisburg: Kunstpause e.V. - Children and youth project ",2012-09-30,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),4,0,4,0,100,12,completed,Germany,1
"Germany, Mülheim an der Ruhr: CVJM / YMCA, new computer room",2013-01-07,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),8,0,8,0,100,15,completed,Germany,1
"Ghana, Botianor: Future Now, Krokobite school ",2013-01-25,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),16,0,16,0,100,280,completed,Ghana,1
"Germany, Köln / Cologne: Kölner Flüchtlingszentrum Fliehkraft",2013-02-18,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),5,0,5,0,100,15,completed,Germany,1
"Bosnia and Herzegovina, Srebrenica / Srebrenik: hospital",2013-04-04,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),10,0,10,0,100,20,completed,Bosnia and Herzegovina,1
"Tajikistan, Istaravshan: home and school for handicaped people",2013-05-12,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),15,0,15,0,100,88,completed,Tajikistan,1
"Tajikistan, Istaravshan: NGO SADOQA, school for young women",2013-01-03,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),15,0,15,0,100,30,completed,Tajikistan,1
"Thailand, Mae Sot: The laptops will allow to create a computer classroom at the “The Best Friend School”",2012-11-11,La Tabacalera - Madrid,2,0,2,0,100,400,completed,Thailand,1
"Ghana, Tema, Accra: Computer lab (African Angel eV)",2012-05-15,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),65,1,45,19,70,97,open,Ghana,0
"Gambia, Fulladu West: Boraba Youth Development Association (BYDA)",2013-08-04,Labdoo Hub Zürich (Schweiz),10,0,2,8,20,60,open,Gambia,0
"Nepal, Pokhara: ",2013-08-11,Labdoo School Hub Vilafranca - INS Eugeni d'ORS,10,0,0,10,0,20,open,Nepal,0
"Albania, Tirana: Fan S. Noli school",2012-09-29,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),10,0,9,1,90,900,completed,Albania,1
"Mexico, Santa María Tlahuitoltepec: Laboratory of indigenous communication and free software, Intercultural Communal University (UNICEM)",2013-08-20,Labdoo Hub Mexico DF,5,0,1,4,20,30,open,Mexico,0
"Gambia, Mandinaba: nursery school",2013-08-20,Labdoo Annahmestelle 01309 Dresden (Hub),2,0,0,2,0,142,open,Gambia,0
"Kyrgyzstan, Kochkor: school 02 in Kochkor Zhündübaeva",2013-08-23,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),15,0,0,15,0,1300,open,Kyrgyzstan,0
"Kyrgyzstan, Kochkor -  Ak-Talaa: school 01 in Kochkor Ak-Talaa",2013-07-20,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),15,0,3,12,20,173,open,Kyrgyzstan,0
"Nepal, Nuwakot: Shree Mahendra Higher Secondary School",2013-08-25,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),15,0,0,15,0,559,open,Nepal,0
"Mexico, Delegación Cuauhtémoc.  : Exilio Colectivo is putting together a digital photo workshop for young people of their community",2013-05-09,Labdoo Hub Mexico DF,8,0,8,0,100,25,completed,Mexico,1
"Kenya, Nairobi Kangemi: Kangemi Hupendo school",2013-05-29,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),30,0,26,4,86,570,open,Kenya,0
"Cameroon, Yaoundé: lab-village schools",2013-05-14,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),18,0,18,0,100,90,completed,Cameroon,1
"Guatemala, San Pedro Las Huertas: To construct a computer lab for school Brillo del Sol",2012-05-19,Labdoo Hub California (South),1,0,1,0,100,40,completed,Guatemala,1
"Bosnia and Herzegovina, Zavidovici: To support 2 associations in the organization of educational courses.",2012-09-12,Labdoo Hub Rome,10,0,10,0,100,78,completed,Bosnia and Herzegovina,1
Pristina: Providing laptops for youth at The Innovations Lab Kosovo,2012-05-09,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),10,0,10,0,100,100,completed,xx,1
"Zambia, Lusaka: St. Pauls Primary and Secondary School ",2013-09-16,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),70,0,53,17,75,1650,open,Zambia,0
"Nepal, Kathmandu - Handigaun: Primary school in Handigaun",2013-08-14,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),6,0,6,0,100,70,completed,Nepal,1
"India, Palakkad: To provide laptops for hearing-impaired children in the Sravana Samsara Higher Secondary School",2013-09-12,Labdoo Hub Mambalam,10,0,0,10,0,158,open,India,0
"Guinea-Bissau, Bafata: Dotar tecnologia para aulas informatica a profesores y alumnos",2013-08-27,Labdoo Hub Barcelona @I2CAT Campus Nord,4,0,4,0,100,400,completed,Guinea-Bissau,1
"Poland, Kłodzko: Kinder- und Jugendbildung",2013-09-06,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),11,0,11,0,100,100,completed,Poland,1
"Ghana, Dormaa-Ahenkro: Onipa Nti Education and ICT Centre",2013-01-13,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),49,0,49,0,100,1000,completed,Ghana,1
