Edoovillage,Date created,Hubs,Needed (N),In transit (T),Delivered (D),Remaining (R = N-T-D),% Completed,Number of students,Status,Country,Completed
"Germany, Düsseldorf: Begegnungscafé ",2017-04-21,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),4,0,4,0,100,10,completed,Germany,1
"India, Sangau: Mangili Library at Sangau, Mizoram, India",2017-04-23,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub) | Labdoo Hub Vilafranca Centre - El Hub de la Gestoria | Labdoo Hub Hong Kong - Central | Labdoo Hub Oxford,20,0,8,12,40,200,open,India,0
"Nepal,  Bamti Bhandar / Ramechap:  Sherpa Secondary School |  Kinderhilfe Nepal/Indien.e.V.",2017-04-24,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),15,0,11,4,73,300,open,Nepal,0
"Germany, Essen: Gymnasium Essen Nord-Ost Integrationsprojekt",2017-04-24,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),7,0,7,0,100,56,completed,Germany,1
"Morocco, Casablanca: HOPITAL ABDERRAHIM EL HAROUCHI CASABLANCA DAR ATTIFLE 'ASSOCIATION NOUJOUM'",2017-04-25,Labdoo Hub Casablanca,3,0,2,1,66,10,open,Morocco,0
"Morocco, MEKNES: Ecole MEKNES",2017-04-25,Labdoo Hub Casablanca,20,0,0,20,0,188,open,Morocco,0
"Morocco, El attaouia: Ecole Centre sahrij El attaouia",2017-04-25,Labdoo Hub Casablanca,20,0,3,17,15,270,open,Morocco,0
"Morocco, SETTAT: Ecole SETTAT",2017-04-25,Labdoo Hub Casablanca,20,0,4,16,20,119,open,Morocco,0
"Morocco, Benslimane: Ecole Benslimane",2017-04-25,Labdoo Hub Casablanca,20,0,3,17,15,152,open,Morocco,0
"Germany, Gelsenkirchen: Flüchtlingshilfe Gelsenkirchen | Private Initiativen",2017-04-26,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),1,0,1,0,100,1,completed,Germany,1
"Switzerland, Wintersingen: AsyLex",2017-04-30,Labdoo Hub Zürich (Schweiz),2,0,2,0,100,2,completed,Switzerland,1
"Congo (Kinshasa), Kinshasa - Gombe: Ambassadrice des enfants | Mr Malungu",2017-05-01,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),22,0,22,0,100,900,completed,Congo (Kinshasa),1
"Ghana, Offinso: Namong Methodist Primary & Junior High School",2017-05-01,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),20,0,18,2,90,335,open,Ghana,0
"Togo, Yelivo: Les Amis des Populations Vulnérables du Togo",2017-05-01,Labdoo Hub Zürich (Schweiz),5,0,5,0,100,200,completed,Togo,1
"Congo (Kinshasa), Kinshasa - Maluku: École primaire Elikya na biso | Hilfe für Menschen im Kongo e.V.",2017-05-02,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),6,0,6,0,100,360,completed,Congo (Kinshasa),1
"Congo (Kinshasa), Kinshasa - Kisenso: Maison des enfants Bomoyi | Hilfe für Menschen im Kongo e.V.",2017-05-02,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),1,0,1,0,100,20,completed,Congo (Kinshasa),1
"Congo (Kinshasa), Kinshasa - Maluku: Maison des enfants Kiki Bolingo | Hilfe für Menschen im Kongo e.V.",2017-05-02,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),1,0,1,0,100,20,completed,Congo (Kinshasa),1
"Congo (Kinshasa), Kinshasa - Kisenso: Administration de l’ONGD Hospice des enfants abandonnés | Hilfe für Menschen im Kongo e.V.",2017-05-02,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),1,0,1,0,100,10,completed,Congo (Kinshasa),1
"Nigeria, Benin: Support Education for IDP camp in Benin",2017-05-05,Labdoo Hub California (South),30,4,7,19,36,3000,completed,Nigeria,1
"Togo, Gapé: Togo – Gapé – Teaching Computer Basics",2017-05-07,Labdoo Annahmestelle 90402 Nürnberg (Hub),18,15,0,3,83,200,completed,Togo,1
"Ethiopia,  Mekelle: Mekelle Adventist School | Initiative „Lehulatchin“ ",2017-05-09,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),15,0,15,0,100,265,completed,Ethiopia,1
"Tanzania, Nanyamba: Haushaltungsschule St. Ursula Nanyamba VTC | Kongregation der Schwestern des Erlösers",2017-05-09,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),15,0,15,0,100,60,completed,Tanzania,1
"Myanmar, Lashio: Ethnic minority education in Myanmar",2017-05-10,Labdoo Hub Taipei @EWB-Taiwan,4,0,0,4,0,40,open,Myanmar,0
"Sri Lanka, Bandarawela: SKILLS",2017-05-10,Labdoo Hub Zürich (Schweiz),18,0,18,0,100,100,completed,Sri Lanka,1
"Uganda, Kampala: Refugee Children Online Education for their protection and bridge for continuity in their education both formal and informal",2017-05-15,Labdoo Annahmestelle 53173 Bonn: Ulrich Egger (Hub),18,0,0,18,0,75,open,Uganda,0
"Tanzania, Mwanza: FONELISCO Orphanage",2017-05-15,Labdoo Hub Zürich (Schweiz),7,0,2,5,28,7,open,Tanzania,0
"Uganda, Kumi: St. Charles Borromeo Akulony | Kumi-Freunde e.V.",2017-05-17,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),20,0,20,0,100,60,completed,Uganda,1
"Ghana, Jirapa: St. Joseph Junior High School and St. Joseph Nurnsing training school | Ghana-Kreis e.V.",2017-05-18,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),60,0,45,15,75,420,open,Ghana,0
"Dominican Republic, Las Terrenas: Fundación Aldeas de Paz Cooperation with Casa de Los ninos | aldeasdepaz.org",2017-05-18,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),15,0,8,7,53,200,completed,Dominican Republic,1
"Ethiopia, Duramba: Duramba School | Etiopia Witten e.V.",2017-05-19,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),21,0,21,0,100,480,completed,Ethiopia,1
"Ethiopia, Laley Segen: Laley Segen School | Etiopia Witten e.V.",2017-05-19,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),21,0,21,0,100,440,completed,Ethiopia,1
"Ethiopia, Bassale: Bassale Holzkamp School | Etiopia Witten e.V.",2017-05-19,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),21,0,21,0,100,420,completed,Ethiopia,1
"Ethiopia, Chekon: Chekon School | Etiopia Witten e.V.",2017-05-19,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),21,0,21,0,100,840,completed,Ethiopia,1
"Romania, Lipova: Kinderheime Pupils of the Poor | Ruhrdax 2017",2017-05-19,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),20,0,20,0,100,100,completed,Romania,1
"Germany, Duisburg: Gedächtnistraining Fliedner Stiftung | Ruhrdax 2017",2017-05-19,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),4,0,4,0,100,134,completed,Germany,1
"Germany, Essen: Waldbienen Waldkindergarten e.V. | Ruhrdax 2017",2017-05-19,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),2,0,2,0,100,21,completed,Germany,1
"Germany, Mülheim an der Ruhr: Infopoints Eppinghofer Bürgerverein e.V. | Ruhrdax 2017",2017-05-19,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),0,0,0,0,0,100,completed,Germany,1
"Germany, Essen: Aidshilfe Essen e.V. | Ruhrdax 2017",2017-05-19,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),3,0,3,0,100,100,completed,Germany,1
"Germany, Recklinghausen: SkF Sozialarbeit Katholischer Frauen PCs für Integrationsarbeit | Ruhrdax 2017",2017-05-19,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),12,0,11,1,91,580,completed,Germany,1
"Germany, Duisburg: Deutscher Kinderschutzbund | Ruhrdax 2017 | COVID-19-DE",2017-05-19,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),15,6,12,0,100,200,completed,Germany,1
"Switzerland, Bern: Eritreischer Medienbund Schweiz",2017-05-20,Labdoo Hub Zürich (Schweiz),10,0,5,5,50,15,open,Switzerland,0
"Benin, Cotonou: Fondation NADCA",2017-05-20,Labdoo Hub Zürich (Schweiz),8,0,8,0,100,25,completed,Benin,1
"India, Rajasthan: Escuela RAJASTHAN BAL VIDYA MANDIR - KOLAM",2017-05-23,Labdoo School Hub Barcelona - Aula Escola Europea,10,0,8,2,80,235,open,India,0
"Germany, Oberhausen (Rhld.): Mädchenmobil 'Flotte Lotte' Evgl. Jugendreferat | Ruhrdax 2017",2017-05-25,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),2,0,2,0,100,50,completed,Germany,1
"Togo, Défalé Animadé: Schule EPC-Amaidé-Worodé | Jürgen Wahn Stiftung e. V.",2017-05-25,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),10,0,6,4,60,72,open,Togo,0
"South Africa, Parys: LBF - Edoovillage on the move | Südafrika-Hilfe e.V.",2017-05-25,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),20,0,5,15,25,80,open,South Africa,0
"Germany, Duisburg: GS Globus am Dellplatz | COVID-19-DE",2017-05-25,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),94,0,95,0,100,300,completed,Germany,1
"Spain, Barcelona: Servei de préstec de portàtils per a joves al Centre de Serveis Socials Baix-Guinardó Can Baró",2017-05-25,Labdoo Hub Barcelona BaseTIS,10,0,4,6,40,10,open,Spain,0
"Bosnia and Herzegovina, Otoka Bosanska: Ausbildungszentrum Feuerwehr | Leben und Lernen in Bosnien e.V.",2017-05-26,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),15,0,15,0,100,25,completed,Bosnia and Herzegovina,1
"Bosnia and Herzegovina, Jajce: Grundschule „Berta Kučera“ Barevo | Leben und Lernen in Bosnien e.V.",2017-05-26,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),1,0,1,0,100,6,completed,Bosnia and Herzegovina,1
"Bosnia and Herzegovina, Jajce: Grundschule „Berta Kučera“ Biokovine | Leben und Lernen in Bosnien e.V.",2017-05-26,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),1,0,1,0,100,8,completed,Bosnia and Herzegovina,1
"Bosnia and Herzegovina, Jajce: Grundschule „Berta Kučera“ Bulići | Leben und Lernen in Bosnien e.V.",2017-05-26,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),4,0,4,0,100,18,completed,Bosnia and Herzegovina,1
"Bosnia and Herzegovina, Jajce: Grundschule „Berta Kučera“ Carevo Polje | Leben und Lernen in Bosnien e.V.",2017-05-26,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),3,0,3,0,100,7,completed,Bosnia and Herzegovina,1
"Bosnia and Herzegovina, Jajce: Grundschule „Berta Kučera“ Fra Antuna Kneževića | Leben und Lernen in Bosnien e.V.",2017-05-26,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),30,0,15,15,50,330,completed,Bosnia and Herzegovina,1
"Bosnia and Herzegovina, Jajce: Grundschule „Berta Kučera“ Šibenica | Leben und Lernen in Bosnien e.V.",2017-05-26,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),10,0,10,0,100,40,completed,Bosnia and Herzegovina,1
"Bosnia and Herzegovina, Jajce: Grundschule „Berta Kučera“ Vinac | Leben und Lernen in Bosnien e.V.",2017-05-26,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),25,0,25,0,100,150,completed,Bosnia and Herzegovina,1
"Bosnia and Herzegovina, Jajce: Grundschule „Berta Kučera“ Vlasinje | Leben und Lernen in Bosnien e.V.",2017-05-26,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),12,0,12,0,100,50,completed,Bosnia and Herzegovina,1
"Germany, Oberhausen: DRK Flüchtlingsgemeinschaftsunterkünfte",2017-05-31,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),25,0,25,0,100,300,completed,Germany,1
"Philippines, Carmen: Carmen National High School",2017-06-04,Labdoo Hub Zürich (Schweiz),4,0,4,0,100,2500,completed,Philippines,1
"Mozambique, Maputo: Millora de les condicions de vida al Districte Municipal ka-Maxakeni  a través de l’enfortiment dels moviments socials locals",2017-06-05,Labdoo Hub Barcelona @I2CAT Campus Nord,8,0,8,0,100,20,completed,Mozambique,1
"Germany, Gelsenkirchen: Flüchtlingshilfe im Quartier im Ankunftszentrum | AWO",2017-06-06,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),21,0,21,0,100,21,completed,Germany,1
"Mongolia, Hatgal: Hatgal High School",2017-06-08,Labdoo Hub Zürich (Schweiz),30,0,30,0,100,680,open,Mongolia,0
"Mongolia, Altai: Khantaishir-Erdem Complex School",2017-06-08,Labdoo Hub Zürich (Schweiz),20,0,20,0,100,800,open,Mongolia,0
"Mongolia, Bayan-Ulgii: Vocational Training School",2017-06-08,Labdoo Hub Zürich (Schweiz),40,0,40,0,100,650,open,Mongolia,0
"Ghana, Afienya: ICT for National Youth Authority projects",2017-06-09,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),20,0,0,20,0,176,completed,Ghana,1
"Spain, Granada: La Aldea - Aldea Infantil",2017-06-09,Labdoo School Hub Madrid - IES Villablanca,6,0,6,0,100,66,open,Spain,0
"Morocco, khamlia: Bringing computer technologies in the remote school of Khamlia ",2017-06-10,Labdoo Hub Casablanca | Labdoo School Hub Vilafranca - Col·legi Vedruna Sant Elies,3,0,5,0,100,20,completed,Morocco,1
"Nicaragua, Puerto Cabezas: Projecte Educatiu d'Agermanament amb Vilafranca del Penedes",2017-06-11,Labdoo School Hub Vilafranca - Col·legi Sant Josep | Labdoo City Hub Vilafranca del Penedes - Escorxador,3,0,3,0,100,1106,completed,Nicaragua,1
"Morocco, TANGER: Ecole ABDELHADI BOUTALEB ",2017-06-12,Labdoo Hub Casablanca | [CLOSED] Labdoo Annahmestelle 21037 Hamburg - Kirchwerder: Tina Meier [zur Zeit geschlossen],32,21,10,1,96,1200,completed,Morocco,1
"Burundi, Gitaramkua: Lycée St. Augustin de Gitaramkua | St. Augustinus-Kliniken gGmbH",2017-06-12,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),50,0,27,23,54,500,open,Burundi,0
"Mongolia, Ulaanbaatar: ASRAL",2017-06-13,Labdoo Hub Zürich (Schweiz),42,0,12,30,28,0,open,Mongolia,0
"Spain, Málaga: La Aldea - Centro de Día Málaga",2017-06-13,Labdoo School Hub Madrid - IES Villablanca,8,0,0,8,0,50,open,Spain,0
"Spain, Granada: La Aldea - Centros de Día Granada",2017-06-13,Labdoo School Hub Madrid - IES Villablanca,3,0,2,1,66,120,open,Spain,0
"Spain, Granada: La Aldea - Programa de jóvenes",2017-06-13,Labdoo School Hub Madrid - IES Villablanca,3,0,0,3,0,127,open,Spain,0
"Uganda, Adjumani Town (Minia Village): School Project | UgandaKids eV",2017-06-15,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub) | Labdoo Annahmestelle 80804 München (Hub),20,0,21,0,100,640,open,Uganda,0
"Uganda, Pakele Adjumani: Monsignore Bala Secondary School",2017-06-15,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),30,0,15,15,50,300,open,Uganda,0
"Senegal, Ndangane: Una lectura, un somriure per Senegal. ",2017-06-16,Labdoo School Hub Vilafranca - INS Eugeni d'ORS,8,0,6,2,75,1000,open,Senegal,0
"Nicaragua, Camoapa: Soporte TIC en Camoapa y Bilwi (Nicaragua) e implementación de una plataforma web para la gestión de proyectos",2017-06-16,Grassroots | Labdoo Hub Barcelona @I2CAT Campus Nord,20,0,8,12,40,65,open,Nicaragua,0
"Nepal, Selang: Projecte TIC a la vall de Selang, Nepal",2017-06-18,Labdoo Hub Barcelona @I2CAT Campus Nord,7,0,7,0,100,281,open,Nepal,0
"Kenya, Nairobi Mbagathi: Trompetenschule Nairobi | DIGUNA eV | Lilli eV",2017-06-19,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub) | Labdoo Annahmestelle 14542 Werder: Jürgen Weinreich,3,0,3,0,100,65,completed,Kenya,1
"Kenya, Nairobi Mbagathi: New Scent Centre International | DIGUNA eV | Lilli eV",2017-06-19,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),3,0,3,0,100,26,completed,Kenya,1
"South Africa, Wellington: Education on after-Care children in NorSA Family Care Programme",2017-06-19,Labdoo Annahmestelle 28215 Bremen (Hub),9,0,9,0,100,104,completed,South Africa,1
"Ethiopia, Meki:  Suport TIC Meki Ethiopia",2017-06-21,Labdoo Hub Barcelona @I2CAT Campus Nord,4,0,1,3,25,110,open,Ethiopia,0
"Uganda, Jinja: Tandem Partner | Global Match eV",2017-06-24,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),20,0,20,0,100,20,open,Uganda,0
"Uganda, Kampala: Kitokolo Projekt Grundschule und Berufsschule | AMALi eV",2017-06-24,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),45,0,44,1,97,629,completed,Uganda,1
"Germany, Bergkamen: Flüchtlings- / Integrationsprojekte (Private Initiativen)",2017-06-26,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),0,0,0,0,0,1,completed,Germany,1
"Tanzania, Kayanga Karagwe: Computer Training  Project for the Youths | KARUDECA",2017-06-28,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),10,0,1,9,10,50,open,Tanzania,0
"Taiwan, Chu Dong: Hao Shang Orphanage After School Program ",2017-06-28,Labdoo Hub Taipei @EWB-Taiwan,4,0,2,2,50,8,completed,Taiwan,1
"Malawi, Limbe: James Chiona Catholic High School",2017-06-29,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),30,0,0,30,0,304,open,Malawi,0
"Tanzania, Nyangao: Nurse training school Nyangao Hospital",2017-06-29,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),20,0,18,2,90,57,open,Tanzania,0
"Tanzania, Malambo: Secondary School Naserian | Hilfe für die Massai e.V.",2017-07-02,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),20,0,20,0,100,140,completed,Tanzania,1
"Ukraine, Odessa Oblast: Empowerment Lab",2017-07-05,Labdoo Hub Zürich (Schweiz),8,0,8,0,100,7,completed,Ukraine,1
"Kenya, Nyeri: Nyeri German Childsupport",2017-07-05,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),8,0,8,0,100,50,completed,Kenya,1
"Guinea, Conakry: Hoffnungsstern über Conakry",2017-07-06,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub) | Labdoo Annahmestelle 80804 München (Hub) | Labdoo Annahmestelle 90402 Nürnberg (Hub),35,0,35,0,100,35,completed,Guinea,1
"Colombia, Bogotá: Aula digital aeioTU - La Estrella",2017-07-12,Labdoo Hub Medellín / Divergente,1,0,1,0,100,300,completed,Colombia,1
"Colombia, Bogotá: Aula digital aeioTU - Suba",2017-07-12,Labdoo Hub Medellín / Divergente,4,0,1,3,25,495,open,Colombia,0
"Brazil, Alto da Serra : Colors Beyond Artistlove Petrópolis ",2017-07-13,Labdoo Hub Barcelona @I2CAT Campus Nord,6,0,5,1,83,40,completed,Brazil,1
"India,  New Delhi: Bright Futures",2017-07-13,Labdoo Hub Barcelona @I2CAT Campus Nord,4,0,4,0,100,100,completed,India,1
"Morocco,  Ouarzazate:  Ecole communautaire | Asso cooperation scolaire ighrem nougdal | RIVE Maroc",2017-07-17,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub) | Labdoo Hub Casablanca,37,0,37,0,100,500,completed,Morocco,1
"Syria, Homs: Um Al-Zenar Relief & Development Center | Syrian Orthodox Archdiocese | SOS eV",2017-07-18,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),30,0,13,17,43,50,open,Syria,0
"Syria, Aleppo: St. Aphrem Suryoyo Church | Syrian Orthodox Archdiocese | SOS eV",2017-07-18,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),30,0,17,13,56,50,open,Syria,0
"Mozambique, Aldea de Masaca (Distrito de Boane): Casa di Gaiato",2017-07-21,Labdoo School Hub Madrid - IES Villablanca,10,0,1,9,10,800,completed,Mozambique,1
"Ghana, ASSIN NGRESI: Laptop laboratory for Adankwaman Community | Ghana Union Düsseldorf e.V.",2017-07-21,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),43,0,43,0,100,524,completed,Ghana,1
"Namibia, Grootfontein: Feith Kindergarten | Lilli eV",2017-07-21,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub) | Labdoo Annahmestelle 14542 Werder: Jürgen Weinreich,2,0,2,0,100,75,completed,Namibia,1
"Namibia, Grootfontein: Immanuel Kindergarten | Lilli eV",2017-07-21,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub) | Labdoo Annahmestelle 14542 Werder: Jürgen Weinreich,1,0,1,0,100,26,completed,Namibia,1
"Namibia, Grootfontein: Vanona Garden Kindergarten | Lilli eV",2017-07-21,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub) | Labdoo Annahmestelle 14542 Werder: Jürgen Weinreich,1,0,1,0,100,39,completed,Namibia,1
"Ghana, Takoradi: Nkotompo Community Lab | Ghana Union Düsseldorf e.V.",2017-07-25,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),44,0,48,0,100,500,completed,Ghana,1
"Ghana, Ajumako Bisease: St. Luke Anglican Basic School | Ghana Union Düsseldorf e.V.",2017-07-25,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),25,0,25,0,100,2000,completed,Ghana,1
"Thailand, Nunmapran: Ban Nunmaprang School",2017-07-26,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),20,0,16,4,80,1500,open,Thailand,0
"Ukraine, Kharkiv: Versorgung des Kinder-Rehazentrums für Seh- und schwerbehinderte Kinder Prawo Wybora | Swjatilnaja eV",2017-07-27,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),8,0,8,0,100,60,completed,Ukraine,1
"Ghana, Agona Swedru: Saint Germain School | Ghana Union Düsseldorf eV",2017-07-28,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),21,0,23,0,100,200,completed,Ghana,1
"Thailand, Pitsanoluk: Ban Langkhao School",2017-08-01,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),8,0,8,0,100,200,completed,Thailand,1
"Nepal, Udayapur: Nepal, Udayapur:Secondary School Balamta",2017-08-02,Labdoo Annahmestelle 72805 Schwäbische Alb (Hub),20,0,19,1,95,435,open,Nepal,0
"Ghana, Karimenga: School The Green House Karimenga | Reverence Street Foundation",2017-08-03,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),12,0,12,0,100,168,completed,Ghana,1
"Switzerland, Oberrohrdorf: Asylunterkunft (COVID-19-CH)",2017-08-04,Labdoo Hub Zürich (Schweiz),8,0,8,0,100,8,completed,Switzerland,1
"Switzerland, Geneva: Project Integration",2017-08-04,Labdoo Hub Zürich (Schweiz),18,0,18,0,100,35,completed,Switzerland,1
"Mongolia, Ulaanbaatar: Recreation Center for Children",2017-08-08,Labdoo Hub Zürich (Schweiz),3,0,3,0,100,80,open,Mongolia,0
"Senegal, Kaolack: Senegal, Kaolack, Complexe socio-éducatif Imagine (Sozial- und Bildungszentrum Imagine)",2017-08-12,Labdoo Annahmestelle 79104 Freiburg Baden [zur Zeit geschlossen],6,2,0,4,33,68,open,Senegal,0
"Tanzania, Karagwe: Ascar Community project",2017-08-13,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),2,0,0,2,0,30,open,Tanzania,0
"Germany, Duisburg: Willkommen in Duisburg - Patenschaften mit Geflüchteten | Bürgerstiftung Duisburg | COVID-19-DE",2017-08-14,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),34,0,34,0,100,90,completed,Germany,1
"Ghana, MPEHI Offinso: BISHOP SARPONG R/C (Roman Catholic) Junior High School | BKVGS",2017-08-14,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),7,0,7,0,100,300,completed,Ghana,1
"Ghana, Ashanti Offinso: Namong Methodist Primary & Junior High School | BKVGS",2017-08-14,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),7,0,7,0,100,335,completed,Ghana,1
"Ghana, MPEHI Offinso: Maase Roman/Catholic Junior High School (JHS) | BKVGS",2017-08-14,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),7,0,7,0,100,325,completed,Ghana,1
"Congo (Brazzaville), Brazzaville: Ausbildungszentrum Soeurs de la Croix de Chavanod | Mission Kongo eV",2017-08-15,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),10,0,10,0,100,20,completed,Congo (Brazzaville),1
"Edoovillage #1003 - Cambodia, Tumneab Svay, Distrikt Varin: Kommune Brasat | Köln hilft Kambodscha eV",2017-08-20,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),14,0,8,6,57,50,completed,Cambodia,1
"Edoovillage #1004 - Malawi, Chitipa: Kaseye Girls' Secondary School | Blickwinkel Afrika",2017-08-22,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),13,0,13,0,100,368,completed,Malawi,1
"Edoovillage #1005 - Uganda, Kabale: African College of Commerce and Technology - ACCT",2017-08-22,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),20,0,12,8,60,710,open,Uganda,0
"Edoovillage #1006 - Somalia, gabiley: Sh. Muxumed Warsame Primary and Secondary School",2017-08-25,Labdoo Annahmestelle 53173 Bonn: Ulrich Egger (Hub),40,1,14,25,37,1900,open,Somalia,0
"Edoovillage #1007 - Taiwan, Tainan: PTWA After School Tutoring Program",2017-08-25,Labdoo Hub Taiwan @EWB-Taiwan,16,0,0,16,0,0,completed,Taiwan,1
"Edoovillage #1008 - Germany, Mülheim an der Ruhr: Integrationshilfe Styrum | CBE Mülheim",2017-08-29,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),30,0,31,0,100,35,completed,Germany,1
"Edoovillage #1009 - India, Varanasi: The Social Advancement Project",2017-09-05,Labdoo Hub Auckland | Labdoo Hub Melbourne,15,0,0,15,0,18,open,India,0
"Edoovillage #1010 - Kenya, Machakas: Kenya machakos primary school  Machakos",2017-09-06,Labdoo Hub Salzburg,2,0,2,0,100,500,completed,Kenya,1
"Edoovillage #1011 - Ethiopia,  Adama, Shewa: Berhan School | Förderverein Freie Christliche Schule Rhein Sieg e.V.",2017-09-07,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub) | Labdoo Annahmestelle 53173 Bonn: Ulrich Egger (Hub),30,0,0,30,0,575,open,Ethiopia,0
"Edoovillage #1012 - Ghana, Tamale: St. Charles Minor seminary / Senior High school",2017-09-16,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),7,0,8,0,100,602,completed,Ghana,1
"Edoovillage #1013 - Switzerland, Geneva: Association Europe-Charmilles",2017-09-17,Labdoo Hub Zürich (Schweiz),6,0,6,0,100,30,completed,Switzerland,1
"Edoovillage #1014 - South Africa, Johannesburg: Green Business College",2017-09-17,Labdoo Hub Zürich (Schweiz),10,0,10,0,100,15,completed,South Africa,1
"Edoovillage #1015 - Sri Lanka, Kekirawa: Kekirawa Learning Centre",2017-09-17,Labdoo Hub Zürich (Schweiz),24,0,24,0,100,2500,completed,Sri Lanka,1
